"name","category","BulkyDay","SampleAddress"
"Dellcrest Area","normies","*Week of 09/20/2021","1025 Holmgreen Rd, San Antonio, TX 78220, USA"
"Royal View",,"*Week of 09/20/2021","527 Saints Haven, San Antonio, TX 78220, USA"
"Dellcrest Forest",,"*Week of 09/20/2021","4410 Vicksburg, San Antonio, TX 78220, USA"
"Artesia Community Guild","normies","*Week of 09/20/2021","623 J St, San Antonio, TX 78220, USA"
"Highland Farms","normies","*Week of 09/20/2021","5032 Viking Coral, San Antonio, TX 78244, USA"
"Harvard Place - Eastlawn","normies","*Week of 09/20/2021","2003 Hays St, San Antonio, TX 78202, USA"
"Coliseum-Willow Park","tourists","*Week of 09/20/2021","338 Edna, San Antonio, TX 78220, USA"
"Historic Gardens","normies","*Week of 09/20/2021","217 Cactus St, San Antonio, TX 78203, USA"
"Coliseum Oaks",,"*Week of 09/20/2021","3066 E Commerce St, San Antonio, TX 78220, USA"
"Skyline Park","normies","*Week of 09/20/2021","627 Green Valley, San Antonio, TX 78219, USA"
"Crestlake","normies","*Week of 09/20/2021","6127 Foster Trail Dr, San Antonio, TX 78222, USA"
"Hein-Orchard",,"*Week of 09/20/2021","1107 S WW White Rd, San Antonio, TX 78220, USA"
"St. Paul Square",,"*Week of 09/20/2021","1138 E Commerce St, San Antonio, TX 78205, USA"
"Southeast Side","normies","*Week of 09/20/2021","1310 Pecan Valley Dr, San Antonio, TX 78210, USA"
"Eastwood Village","normies","*Week of 09/20/2021","313 Charcliff Dr, San Antonio, TX 78220, USA"
"Huntleigh Park Residents Association","normies","*Week of 09/20/2021","4846 Alfred Dr, San Antonio, TX 78220, USA"
"Eastgate",,"*Week of 09/20/2021","514 Peggy Dr, San Antonio, TX 78219, USA"
"East Village","normies","*Week of 09/20/2021","5855 Midcrown Dr, San Antonio, TX 78218, USA"
"Denver Heights","hipsters","*Week of 09/20/2021","930 Iowa St, San Antonio, TX 78203, USA"
"Jefferson Heights","normies","*Week of 09/20/2021","422 Kraft St, San Antonio, TX 78220, USA"
"Arena District","hipsters","*Week of 09/20/2021","1801 Martin Luther King Dr, San Antonio, TX 78203, USA"
"Wheatley Heights","normies","*Week of 09/20/2021","3238 Martin Luther King Dr, San Antonio, TX 78220, USA"
"Stone Oak","rich","*Week of 09/27/2021","814 Quitman Oak, San Antonio, TX 78258, USA"
"Stone Mountain/ Stone Oak",,"*Week of 09/27/2021","723 Stoneway Dr, San Antonio, TX 78258, USA"
"Stone Oak Communities of Mutual Amenities/ Stone Oak","rich","*Week of 09/27/2021","18038 Shady Knoll, San Antonio, TX 78258, USA"
"Oak Haven Heights","normies","*Week of 09/27/2021","16824 Ledgestone Dr, San Antonio, TX 78232, USA"
"Encino Ranch","rich","*Week of 09/27/2021","22423 Banister, San Antonio, TX 78259, USA"
"Redland Ranch at Elm Creek",,"*Week of 09/27/2021","16914 Redland Downs, San Antonio, TX 78247, USA"
"Valencia","normies","*Week of 09/27/2021","13220 Nacogdoches Rd, San Antonio, TX 78217, USA"
"Stone Wood","normies","*Week of 09/27/2021","14303 Judson Rd, San Antonio, TX 78233, USA"
"Oakhollow Park","normies","*Week of 09/27/2021","2642 Pebble Bow, San Antonio, TX 78232, USA"
"Encino Creek","rich","*Week of 09/27/2021","21503 Hyerwood, San Antonio, TX 78259, USA"
"Encino Bluff",,"*Week of 09/27/2021","3430 Heather Bluff, San Antonio, TX 78259, USA"
"Redland Ridge",,"*Week of 09/27/2021","2302 Stallion Run, San Antonio, TX 78259, USA"
"Summit at Bulverde Creek",,"*Week of 09/27/2021","3927 Privet Pl, San Antonio, TX 78259, USA"
"El Dorado","normies","*Week of 09/27/2021","5014 La Barranca St, San Antonio, TX 78233, USA"
"Towne Lake Garden",,"*Week of 09/27/2021","10978 Lake Path Dr, San Antonio, TX 78217, USA"
"El Chaparral Fertile Valley","normies","*Week of 09/27/2021","14238 Swallow Dr, San Antonio, TX 78217, USA"
"Eden Roc Maintenance Association","normies","*Week of 09/27/2021","16659 Fallen Tree Dr, San Antonio, TX 78247, USA"
"Eden","normies","*Week of 09/27/2021","3363 Coral Grove Dr, San Antonio, TX 78247, USA"
"Summit/ Stone Oak","rich","*Week of 09/27/2021","25107 Summit Cove, San Antonio, TX 78258, USA"
"Promontory Pointe-Heights","rich","*Week of 09/27/2021","21251 Balmoral Pl, San Antonio, TX 78258, USA"
"Preston Hollow",,"*Week of 09/27/2021","3135 Preston Hall Dr, San Antonio, TX 78247, USA"
"Woodstone","normies","*Week of 09/27/2021","5635 Wood Oak, San Antonio, TX 78233, USA"
"Encino Park","rich","*Week of 09/27/2021","2146 Encino Loop, San Antonio, TX 78259, USA"
"Knollcreek",,"*Week of 09/27/2021","4115 Knollspring, San Antonio, TX 78247, USA"
"Redland Woods","rich","*Week of 09/27/2021","18526 Paloma Wood, San Antonio, TX 78259, USA"
"Northern Heights","rich","*Week of 09/27/2021","4811 Aspen View, San Antonio, TX 78217, USA"
"The Terraces at Encino Creek Owners Association","rich","*Week of 09/27/2021","3519 Bent Hollow, San Antonio, TX 78259, USA"
"San Antonio Steubing Ranch",,"*Week of 09/27/2021","15926 Drexel Run, San Antonio, TX 78247, USA"
"Las Lomas/ Stone Oak","rich","*Week of 09/27/2021","21022 El Suelo Bueno, San Antonio, TX 78258, USA"
"San Antonio St. James Place",,"*Week of 09/27/2021","14115 Wetmore Bend, San Antonio, TX 78247, USA"
"Champions Springs-Sundance at Stone Oak/ Stone Oak",,"*Week of 09/27/2021","22023 Oriole Hill Dr, San Antonio, TX 78258, USA"
"Cavalo Creek Estates",,"*Week of 09/27/2021","21518 Roan Bluff, San Antonio, TX 78259, USA"
"Longs Creek","normies","*Week of 09/27/2021","15807 Pleasant Well Dr, San Antonio, TX 78247, USA"
"Longs Ridge","normies","*Week of 09/27/2021","15839 Kenna Mist, San Antonio, TX 78247, USA"
"San Antonio Remington Heights","rich","*Week of 09/27/2021","22710 Wichita Pass, San Antonio, TX 78258, USA"
"The Villas of Spring Creek HOA",,"*Week of 09/27/2021","5118 Spring Ash, San Antonio, TX 78247, USA"
"Northern Hills","normies","*Week of 09/27/2021","4450 Brushy Hill, San Antonio, TX 78217, USA"
"Vistas of Encino Park",,"*Week of 09/27/2021","21714 Lawrey Dr, San Antonio, TX 78259, USA"
"Mesa Vista/ Stone Oak",,"*Week of 09/27/2021","23103 Hardy Oak Blvd, San Antonio, TX 78258, USA"
"High Country","normies","*Week of 09/27/2021","15302 Judson Rd, San Antonio, TX 78247, USA"
"Thousand Oaks Condominiums/ Thousand Oaks","normies","*Week of 09/27/2021","16465 Henderson Pass, San Antonio, TX 78232, USA"
